牛博 超话 6月27日 湖北 宜昌 暴雨 三峡 加大 泄洪 量 全市 水淹 被淹 居民 只能 高层 移。 洒水车 清洗 ######微博 	晚间 快乐 	希望 好心情 照常 营业 ，烦 心事 永久 打烊 ######rumor
人民日报 北京 新增 1例 新冠 确诊 病例 今天下午 北京市 第112场 疫情 防控 新闻 发布会 通报 北京市 新增 1例 新 冠 肺炎 确诊 病例 据介绍 北京市 西城区 一例 新 冠 肺炎 确诊 病例 唐某 ，男 52岁 北京市 家 住 西城区 月坛街道 西便门东大街 6月10日下午 间断 发热 辖区 医院 发热 门诊 就诊。 患者 畏寒， 乏力 症状 咳嗽 咽痛、无胸闷， 患者 自述 近2周 出京 史、 外来 人员 接触 史， 样本 核酸 检测 阳性 专家 诊断 新 冠 肺炎 确诊 病例 患者 就医 全程 佩戴 口罩 骑车 医院 检查 隔离 治疗 患者 转 地坛医院 对其 家庭 中 2名 接触者 医学 观察 原图 ######希望 公布 轨迹 	估计 本土 	首都 流动人口 城市 需 严控 ######nonrumor
央视 新闻 中国人权研究会 发文 揭 美式人权危机#】 中国人权研究会 发表 新 冠 肺炎 疫情 凸显 “美式人权”危机 文。 文章 指出 ，美 底层 民众 生存 状况 愈发 艰难 族裔 正 承受 平 老年人 抗疫 “牺牲品”…美 社会 平等 种族歧视 疫情 中 愈演愈烈 残酷 资本主义” 特征 暴露 无疑 ######中国 也有 人权 研究会 	讲 笑话 美国 人权 	喜欢 中国 人权 研究会 ######nonrumor
FU 37 哥伦比亚 新增 * 1604例 新  病毒 传播力 强 ！！： 说白了， 一种 *传染病 啦！！！ ：肺病啦1！： 肺病  疾病 *传染病 一定要   小心 全 全方位 抵制 任何人  防护 原图 ######一定要   小心 全 全方位 抵制 任何人  防护 	说白了， 一种 *传染病 啦！！！ ：肺病啦1！： 肺病  疾病 *传染病 	 病毒 *传播力 强 ######nonrumor
”哈佛大学医学院 论文 武汉 几所 医院 交通 流量 关键词 搜索 量 分析 ，新冠肺炎 早 去年8月底 武汉 暴发 ######回复 身经百战 加共 地下 金融 货币 经济 奴隶制 撑 以色列 父母 英美 以色列 不及 	反 人性 帝国主义 小弟 殖民“ 复国 主义 	安理会 洗衣粉 同理 ######nonrumor
造星 中国 美国 暴乱 美国 美丽 风景线 约翰斯·霍普金斯 大学 数据 美国 东部 时间 10日23时13分 北京 时间 11日11时13分 美国 新冠 肺炎 累计 确诊 2000464 例， 累计 死亡 112908例 。约翰斯 专家 美国 地区 正 迎来 新 一波 疫情 规模 远 原图 ######博主 厉害 	拜访 博主 	######nonrumor
楚天交通广播 一衣 水、 命运  外交部 声明 日韩 抗疫 中国 缺席 抗击 新型 肺炎 进行时 # 外交部 发言人 赵立坚 中方 韩日 两国 政府 中国 抗击 疫情 提供 支持 深表 感谢 两国 面临 疫情 形势 感同身受 中 日韩 一衣 水 友好 邻邦 疫情 面前 命运 共同体 韩国 日本 抗击 疫情 努力 中 中国 缺席 ######自信 低 头 半天 眼睛 直视 ，念书 		######nonrumor
受 权 发布 # 【 市 城区 投放 200吨 市级 储备 冻 猪肉  零售价 高于 40元 公斤 保障 市场 猪肉 供应 稳定 猪肉 市场价格 2月27日 城区 投放 储备 冻 猪肉 通告 第10号 宜昌 城区 （含 夷陵区 投放 200吨 市级 储备 冻 猪肉 市场 零售价 高于 40元 公斤 组图 2张  原图 ######回复 住在 屋顶 小君君 反正 吃亏 老百姓 	乡镇 ，县 	回复 逍遥 乡镇 ？县 ？。 ######nonrumor
中国新闻网 【钟 南山 谈 新 冠 肺炎 治疗 热点 一个月 研发 新药 钟南山 称 一个月 研发 新药  中国工程院 院士 钟南山 27日 谈及 新 冠 肺炎 治疗 热点 时 社会 突发性 传染病 重视 持续 科学 研究 这一次 新 发 病， 感觉 治疗 束手无策 只能 原理 现有 药物治疗 十几天 二十天 一个月 研发 新药 长期 积累 关注 视频 ######喜欢 钟老， 说实话 实话 官话 	新药  试验 真 患者 服用  钟老 真辛苦 	预防 ######nonrumor
腾讯新闻 主席 确诊 感染  发 视频 确认 2月27日 主席 发布 视频 称 确诊 感染 新 冠肺炎， 隔离 中 此前 已有 一名 伊朗 高官 确诊 感染 2月24日 伊朗卫生部 副部长 疫情 记者 时 咳嗽 擦汗 次日 发布 视频 告知 公众 确诊 感染 伊朗 官方 称 该国 累计 确诊 141例 死亡 22 中东地区 疫情 国家 伊朗 官员 拒绝 疫情 暴发 地区 实施 隔离 检疫 称 信赖 守旧 措施 ######保护好 	戴口罩 	######nonrumor
互联网 那点事 特朗普 鸡贼 明 新 冠 肺炎 影响 拐 弯 ，oh 惊讶 美国 69000 死于 流感 听到 数字 震惊 中国 数字 下降 不知道 付出 多大 牺牲 财联社 CC 新闻 微博 视频 ######美国 那么多 死于 流感 一部分 看不起 病 原因 	美帝 太坏 朝鲜 	禁飞 中国 航班 毛线 ######nonrumor
佳期 如梦 佳 伊朗 副总统 新型 冠状病毒 检测 呈 阳性 前 伊朗 驻 梵蒂冈 大使 感染 冠状病毒 去世 越来越 不可思议 ……病毒 伊朗 致死率 高 奇， 27日 伊朗 确诊 245例 新 冠病毒感染 病例 26例 死亡 25例 治愈 出院 伊朗 新 冠肺炎病毒， 医疗 条件 封闭 影响 经济 封闭 扩散 太 饱受 美国 制裁 灾难 深重 国家 经济 就近乎 崩溃 遭受 役 情， 伊朗 祈祷 原图 ######希望 疫情 早点 	加油 伊朗 	出奇 高 收到 打击 本来 ######nonrumor
阙志华 北京 新增 10例 新 冠 肺炎 确诊 病例 东城新怡家园 武汉 来京 女子 确诊  北京新怡家园 新冠 肺炎 确诊者 追踪 调查报告  原图 ######后续 29号 。。 	回复 猎人 午饭 城 两码 事 	回复 花颜 一千零一个 理由 ######nonrumor
宜昌 发布 文件 第10号 保障 市场 猪肉 供应 稳定 猪肉 市场价格 市 新 冠 肺炎 疫情 防控 指挥部 宜昌 城区 （含 夷陵区 投放 市级 储备 冻 猪肉 。现就 事项 通告 一、 投放 时间 3月18日 调整 ）二、 投放 企业 方式 市场 销售 企业 市场 需求 调整 投放 方式 疫情 防控 期间 接触 配送 市场 销售 企业 实行 线上 订购 ，线 配送 购买 数量 每人 购买 数量 超过 5斤 三、 投放 数量 品种 投放 储备 猪肉 200吨 冻猪肉。 投放 冻 猪 去皮 肉 冻 猪 前 腿 肌肉 冻 猪 后腿 肌肉 、冻 猪 颈 背 肌肉 冻 猪 去皮 前 肉 5类 品种 销售 企业 选择 销售 品类 尽相同 投放 价格 市场 零售价 高于 40元 公斤 投放 品种 价格 销售 企业 线上 网络 平台 五、 消费 提示 冷冻 肉 解冻 颜色 白、 水分 渗出 肌肉 组织 弹性 减弱 均属 现象 消费者 放心 购买 宜昌 加油  原图 ######打扰 长航医院 真 辟谣 	求助 住 翁家堰社区 西陵二路26号 平时 国贸数码城 店 西陵二路22号 ）购物。 封闭 小区 期间 保 供 点 国贸数码城 店 发给 通知 第一天 下单、 第二天 配送 本周一 24日 ）下 周五 还没有 配送 其间 电话 接听 办 快揭 开锅 	想吃 猪肉 想 猪 跑 ######nonrumor
宋药师 抗击 新型 冠状病毒 肺炎 疫情 健康 传播 伦理 共识 发布 健康十八式  组图 6张  原图 ######回复 馨幸 		######nonrumor
福清 小圈子 口罩 戴 多久 张文宏 预计 口罩 戴 1到2个月 新 冠 肺炎 疫情 防控 阶段性 成效 上海市 新 冠 肺炎 临床 救治 专家 组 组长 张文宏 教授 建议 疫情 高度 警惕性 大规模 聚会 办 张教授 ：“ 状态 1到2个月 那时候 新增 口罩 摘 。” （ 记者  周文婷  高尔 强） cn RVYzfD 显示 地图 ######回复 遇上 有缘 口罩 生产量 增加 慢慢 缓解 	买不到 口罩， 只能 微信群 里 买 点 高价 口罩 不知道 合格品 	######nonrumor
理由  昨天 右 眼角 回复 PAN 天命 收费 分 感染 感染 不知道 盼 感染 肺炎 感染 肺炎 感染 医疗 自费 吧？// 昨天 右 眼角 免费 测 ？？ 原始 用户 王冰汝 内容  美国 卫生部长 阿扎尔： 美国 至少 40个 实验室 检测 新 冠病毒， 下周一 全国 93个 实验室 检测 美国疾控中心 CDC 改善 试剂盒 意味着 美国 确诊 患者 将会 阿扎尔 新冠 疫苗 研发 保障 美国人 负担 原图 ######公知 国外 免费 医疗 	资本主义 国家 收 钱 基操 	回复 chn99a2 没错 一千 三千 ######nonrumor
A股 侠女 英国 新增 34例 新 冠 肺炎 患者 要不要 戴口罩 欧洲 各国 民众 吵 疫情 欧洲 蔓延 际 戴 戴口罩 民众 之间 分歧 有人 出门 戴口罩 商家 赚钱 炒作 手段 欧洲 民众 戴 戴口罩 分歧  新 英国 新 冠 肺炎 列为 法定传染病 ######欧洲 新冠 可怕 拉 面子 戴口罩 歧视 	喜欢 作死 	吃 ######nonrumor
疫苗 科学 新型 冠状病毒# 香港 现 全球 首宗 宠物狗 感染 新冠 案例  人类 传染 香港渔农自然护理署 公布 一只 新 冠肺炎 患者 宠物狗 样本 新 冠病毒 检测 中 呈 弱 阳性 专家 称 意味着 新 冠病毒 宿主 谱 限于 ，须 留意 动物 动物间 进一步 变异 可能性 医生 点评 都是 哺乳动物 皆 人类 命运 共同体 地球 生物 命运 共同体 ######深圳市 禁止 养狗 	清理 流浪狗 ，管 家 养 狗 	回复 西瓜 里 喵喵 ######nonrumor
鱼尾 世界 深夜 脖 一位 挺 漂亮 武汉 女子 的士 医院 车上 喷嚏 溅 司机 脸上 司机 中 招， 感染 新 冠肺炎， 礼貌 ，然而， 善良 司机 并不过 抱怨 中国 乘客 友善 ，”“ 想念 开车 一定要 保护好 ”【 走进 泰国 】“ 中国 乘客 友善 想念 泰国 首位 感染 新 冠病毒 出租车司机 背后 故事 ######回复 鱼尾 世界 	回覆@鱼尾世界 十几天 	回复 肥胖 赘肉君 估计 不知道 病 ######nonrumor
杨川C huan 英国 新 冠 肺炎 列为 法定 传染病 #日 落 定调 觉悟 举国 应对 ######回复 一颗 菜 橘子 高 澳洲 还好 点 留 学生 	不存在 	######nonrumor
青岛 吃喝玩 乐榜 日本 参议员 山田宏 坚称 新型 冠状病毒 武汉 肺炎 。。 日本自民党参议院 副干事长 山田宏 日本 国会 发言 ：“ 中国 武汉 发源 新型 肺炎 称 ‘武汉肺炎’， 暧昧 清 名字 忘掉 原因 日本 类 政客 真面目 显露 本性 难 移 赶紧 自救 还在 讨论 无意义 事 ？？ 新 ######真 太 气愤 	回复 @万丈 星海 1999 一共 12万， 广告 打的 满天 都是 营销 	猪流感 听 美国 流感 是因为 爸爸 ######nonrumor
钱江晚报 新冠 疫苗 研制 阶段性 成果 陈薇 院士 团队 中国 速度 亚于 美国 3月3日晚 央视 新闻联播 报道 军事 医学 研究院 陈薇 院士 领衔 科研 团队 闻令 动 争分夺秒 ，集中 力量 展开 应急科研攻关 新 冠 肺炎 疫苗 研制 阶段性 成果 陈薇 阻击 非典、 抗击 埃博拉 场 硬仗 中 作出 贡献 女 科学家 2015年7月 晋升 少将 军衔 2019年11月 当选 研究员 视作 新型 冠状病毒疫苗 研制 赛跑 中 种子 选手 今年1月26日 农历 大年 初二 54岁 陈薇 少将 带领 专家 组 进驻 武汉 2天后 1月28日 军事 医学 研究院 地方 公司 研制 新型 PCR 荧光 探 针法 医疗器械 注册 证书 4天后 1月30日 紧急 展开 军事 科学院 帐篷式 检测 实验室 运行 自主 研发 检测 试剂盒 配合 核酸 全 自动 提取 技术 核酸 检测 时间 现有 时间 缩短 加快 确诊 速度 值得 提 今年1月底 陈薇 接受 中国科学报 专访 时 谈及 受 关注 新 冠 肺炎 疫苗 陈薇 全世界 科学家 政府 支持 ，快马加鞭 研发 新 冠 肺炎 疫苗 疫苗 研发 固有 周期 规律 新 病毒 生物 特性 肤浅 平台 报道 1个月 拿到 疫苗 现实 陈薇 排除 优秀 科研 团队 做 更好 陈薇 1月28日 美国 总统 特朗普 美国 科学家 12周内 研制 新冠 疫苗 我相信 国家 科研 人员 速度 亚于 美国 新型 冠状病毒变异 冠状病毒 类 里 数据 研究 发展 新 变异 生物信息学 数据 挖掘 找到 共用 靶抗原、发病机制 受体， 快速 指导 疫苗 改良 陈薇 来源 澎湃新闻） 原图 ######致敬 国家 女 战神 	12周 特朗普 一厢情愿 专家 1年起 	亚于 远远 超过 美国 ######nonrumor
三联生活周刊 北京地坛医院 首 证 新 北京地坛医院 4日 公布 2月25日 首例 新 冠 肺炎 合并 脑炎 患者 出院 新 冠 肺炎 患者 合并 ARDS、 心肌 损害 、凝血 功能 异常 肾脏 损伤 肝脏 损害 脏器 损害 尚未 发现 中枢神经 系统 受累 报道 病例 报道 全球 尚 属 首例 环球时报） 临床医生 科研 人员 首次 证实 中枢神经 系统 感染  组图 3张  原图 ######瘟疫公司 	一月底 武汉街 好多 倒地 视频 真实 	病毒 可怕 ，埃博拉 失智 内脏 消 融 流血 僵尸 既视感… 活着  走 思考 ######nonrumor
李想 xxx xx 晚上 肺炎 患者 求助 超话， 发现 发帖 数量 少 武汉 确诊 人数 降低 100 ，部分方舱医院 关门 疫情 确实 很不错 控制 段 时间 武汉 投放 冷冻 猪肉 10块 钱 一斤 社区 人员 挺 想 买 消息 听说量 少 小区 好像 10份 ，看 群 里 业主 自愿 名额 让给 特困户 感动 在家 这几天 感觉 闷 长毛 想知道 在家 上班 康复 日记 武汉 加油  显示 地图  原图 ######追加 抗体 筛查 出院 医院 	关注 很久 看着 慢慢 感觉 真好 希望 疫情 快点 结束 回归 生活 真 想 遛 娃 找 春天 	民生 国企 员工  歇  歇  做 饭 ######nonrumor
合肥 反 邪教 新型 面对 新 冠 肺炎 疫情 返岗 工作 人员 心理 调适 ？新华 视点 微博 视频 ######面对 新 冠 肺炎 疫情 	返岗 工作 人员 心理 调适 	######nonrumor
重庆巴南法院 新疆女医生方舱医院 内带 患者 跳舞 帮 解压 跳 心情 好多 2月12日 武汉市方舱医院 新疆 医护人员 穿 防护服 患者 跳舞 视频 火 ，领 舞者 新疆 第二批 援助 湖北医疗队 副 领队 巴哈古丽·托勒 恒， 段 舞蹈 哈萨克民族乐 黑走马 她说 跳 完 舞 患者们 心情 好多 新型 冠状病毒肺炎 防疫 全 纪录 ######	重庆巴南法院 	######nonrumor
林星语 英国 新增 34例 新 冠 肺炎 患者 累计 85例 确诊 患者 英国 新 冠 肺炎 列为 法定传染病 欧洲 已有 三个 国家 新 冠 肺炎 列为 法定传染病。 国际 确诊 病例 破 万， 发现 患者 病例 国家 越来 越多 国家 肺炎 病例 死亡 情况 国际 疫情 形势 令人 担忧 疫情 不分 国界 肺炎病毒 全人类 挑战 国 抗疫 工作 效果 国外 疫情 都是 人类 面对 困难 团结 一心 ，共同努力 战胜 病毒， 真 想 疫情 蔓延 境况 希望 国家 中国 控制 住 疫情 加油 中国 世界 加油 ######点赞 支持 	真心 感谢 	谢谢 °  ° ######nonrumor
领跑 慢 生活 发布 头条 文章 武汉通报 不明 原因 肺炎 最新 情况  十条 预防 措施 很重要 武汉通报 不明 原因 肺炎 最新 情况  十条 预防 措施 很重要 ######	微博 	微博 ######nonrumor
人民日报 武汉 不明 原因 肺炎 专家 答疑 5个 关心 武汉市 发现 不明 原因 病毒性肺炎”， 定义 不明 原因 病毒性肺炎”？ 病例 数量 增加 防范 武汉 不明 原因 病毒性肺炎 情况 疾 控 专家 主任 李刚 群众 关心 回应 ######SARS， 进一步 检查 。尚 发现 传人 现象 公众 考量 患者 隔离 措施 出门 戴口罩 讲 卫生 做 宝宝 	两个 重点 1， 人数 增加 采集 原因 尚 	专家 答疑 很好 明白 胆战心惊日夜不安 下次 请 专家们 抓紧 时间 早 告知 大众 真情 真相 ######nonrumor
船长 雅克 新闻 日本 武汉 不明 肺炎 警惕  原图 ######	就业 下岗 伟人 	######nonrumor
理由 回复 阿兽 颗 小栗子 脑子 丧尸 吃 阿兽 颗 小栗子 回复 yya 13935 图 那种 医院 丧尸 感觉 武汉 肺炎 武汉医院 传染 科 都是 丧尸 原始 用户 言青車俞 入入 曰 尼禾尔 内容  粉丝 见多识广 预言家 组图 2张  原图 ######弱智 才会 低级 谣言 	贴 玻璃 	######nonrumor
真 没想到 多家 港媒 报道 香港 市民 抢购 口罩 店家 缺货 疑问 武汉 不明 肺炎 疫情 千里 之外 香港 疑似 病例 最多 组图 2张  原图 ######非典 阴影 伤痛  流通 透明 信息  恐慌 	纳闷 武汉 戴口罩 关心 肺炎 	回复 纯生晓梦迷蝴蝶 沙雕 ######nonrumor
赵鹏飞 武汉 爆发 不明 原因 肺炎 香港 陆续 武汉 回港 症状 疑似 患者 再加上 前 疑似 患者 拒绝 住院 治疗 市民 担心 疫症 机会 传入 社区 纷纷 购买 口罩 自保。 ，口罩 抢手 多家 药房 口罩 卖 断货 ，旺角荃湾 药房 口罩 海鲜 价 价格 高 6倍 香港  香港 ######一夜 之间 武汉 肺炎 感染者 疑似 感染 病例 发现 整整 两个礼拜 前 香港 市面上 抢购 口罩 	武汉 紧张 	听说 香港 疑似 武汉 肺炎 21例 大陆 13亿 人才 59例 不知道 港人 夸大 词 维稳 隐瞒 ######nonrumor
金牌 鸽子 王  肺炎 哭 ######回复 鈴木Ema 联想 武汉 肺炎 不禁 发抖 	回复 还在 考试 周， 带劲 	妈呀 肺炎 ######nonrumor
赵林 甘露 公益 博爱 精神 超话 【林 郑月娥 香港 未 武汉 相关 肺炎 个案 湖北省 武汉市 近日 到访 武汉 香港 怀疑 患者 情况 社会 高度 关注 1月7日 香港 特区 行政长官 林郑月娥 出席 行政会议 前 会见 传媒 时 指出 香港 未 一宗 武汉 相关 肺炎 个案 政府 怠慢 应变 严阵以待 公开 透明 三大 原则 应对 措施 。林 郑月娥 武汉 不明 原因 病毒性肺炎 情况 通报 香港特区政府 做出 一系列 应对 工作 包括 通知 前线 医务人员 提高 警觉， 留意 怀疑 肺炎 求诊 病人 临床 情况 出入境 口岸 卫生 清洁 工作 健康 监察 。林 郑月娥 ：“ 机场 增设 专 为由 武汉市 抵港 飞机 旅客 做 体温 监测 出入境 管制 站 ，例如 高铁 西 九龙站 增派 人手 过境 旅客 做 监测 港铁、机管局 相关 航空公司 列车 飞机 客运 大楼 清洁 林郑月娥 提到 ，香港特区政府 食物 卫生局 将会 本周 先 订立 审议 形式 修改 预防 控制 疾病 条例 附表 新型 传染病 纳入 需 呈报 传染病 呼吁 市民 留意 卫生 资讯 轻信 实 消息 。林 郑月娥 ：“ 呼吁 公众 误信 谣言 转载 谣言 帖文， 免 误导 市民 防疫 工作 全城 参与 全民 共同努力 呼吁 市民 环境卫生 足够 预防 措施 做好 防疫 工作 守护 香港  ######为你 点赞 	关注 	总 生活 欠 满意， 欠 生活 努力。 ######nonrumor
